,DS,Y,Search,streaming,clickstream
1653,2020-07-11,14.0,8.0,0.0,0.0
1654,2020-07-12,11.0,1.0,0.0,0.0
1655,2020-07-13,26.0,1.0,0.0,0.0
1656,2020-07-14,6.0,0.0,0.0,0.0
1657,2020-07-15,10.0,0.0,0.0,0.0
1658,2020-07-16,8.0,0.0,0.0,0.0
1659,2020-07-17,8.0,2.0,0.0,0.0
1660,2020-07-18,7.0,1.0,0.0,0.0
1661,2020-07-19,7.0,2.0,1.0,0.0
1662,2020-07-20,9.0,1.0,0.0,0.0
1663,2020-07-21,11.0,3.0,0.0,0.0
1664,2020-07-22,9.0,0.0,0.0,0.0
1665,2020-07-23,12.0,0.0,0.0,0.0
1666,2020-07-24,10.0,2.0,0.0,0.0
1667,2020-07-25,10.0,0.0,0.0,0.0
1668,2020-07-26,20.0,2.0,0.0,0.0
1669,2020-07-27,2.0,5.0,0.0,0.0
1670,2020-07-28,9.0,2.0,0.0,0.0
1671,2020-07-29,7.0,0.0,0.0,0.0
1672,2020-07-30,2.0,0.0,0.0,0.0
1673,2020-07-31,18.0,18.0,0.0,0.0
1674,2020-08-01,24.0,0.0,0.0,0.0
1675,2020-08-02,22.0,2.0,0.0,0.0
1676,2020-08-03,22.0,4.0,0.0,0.0
1677,2020-08-04,13.0,1.0,0.0,0.0
1678,2020-08-05,10.0,0.0,0.0,0.0
1679,2020-08-06,2.0,0.0,0.0,0.0
1680,2020-08-07,5.0,0.0,0.0,0.0
1681,2020-08-08,3.0,2.0,0.0,0.0
1682,2020-08-09,10.0,0.0,0.0,0.0
1683,2020-08-10,8.0,0.0,0.0,0.0
1684,2020-08-11,3.0,0.0,0.0,0.0
1685,2020-08-12,4.0,0.0,0.0,0.0
1686,2020-08-13,0.0,0.0,0.0,0.0
1687,2020-08-14,13.0,0.0,0.0,0.0
1688,2020-08-15,11.0,0.0,0.0,0.0
1689,2020-08-16,12.0,14.0,0.0,0.0
1690,2020-08-17,10.0,10.0,0.0,0.0
1691,2020-08-18,7.0,10.0,1.0,0.0
1692,2020-08-19,15.0,1.0,0.0,0.0
1693,2020-08-20,9.0,0.0,0.0,0.0
1694,2020-08-21,11.0,0.0,0.0,0.0
1695,2020-08-22,16.0,1.0,0.0,0.0
1696,2020-08-23,7.0,0.0,0.0,0.0
1697,2020-08-24,4.0,1.0,0.0,0.0
1698,2020-08-25,3.0,0.0,0.0,0.0
1699,2020-08-26,7.0,0.0,0.0,0.0
1700,2020-08-27,6.0,0.0,0.0,0.0
1701,2020-08-28,4.0,0.0,0.0,0.0
1702,2020-08-29,8.0,0.0,0.0,0.0
1703,2020-08-30,9.0,5.0,0.0,0.0
1704,2020-08-31,5.0,1.0,0.0,0.0
1705,2020-09-01,5.0,0.0,0.0,0.0
1706,2020-09-02,6.0,0.0,0.0,0.0
1707,2020-09-03,8.0,0.0,0.0,0.0
1708,2020-09-04,3.0,0.0,0.0,0.0
1709,2020-09-05,6.0,2.0,0.0,0.0
1710,2020-09-06,17.0,11.0,0.0,0.0
1711,2020-09-07,16.0,5.0,0.0,0.0
1712,2020-09-08,25.0,9.0,1.0,0.0
1713,2020-09-09,6.0,2.0,0.0,0.0
1714,2020-09-10,16.0,0.0,0.0,0.0
1715,2020-09-11,9.0,1.0,0.0,0.0
1716,2020-09-12,7.0,1.0,0.0,0.0
1717,2020-09-13,5.0,0.0,0.0,0.0
1718,2020-09-14,5.0,0.0,0.0,0.0
1719,2020-09-15,6.0,0.0,0.0,0.0
1720,2020-09-16,17.0,3.0,0.0,0.0
1721,2020-09-17,21.0,0.0,0.0,0.0
1722,2020-09-18,8.0,0.0,0.0,0.0
1723,2020-09-19,21.0,0.0,1.0,0.0
1724,2020-09-20,17.0,0.0,1.0,0.0
1725,2020-09-21,12.0,0.0,0.0,0.0
1726,2020-09-22,20.0,0.0,0.0,0.0
1727,2020-09-23,9.0,2.0,0.0,0.0
1728,2020-09-24,14.0,0.0,0.0,0.0
1729,2020-09-25,6.0,0.0,0.0,0.0
1730,2020-09-26,25.0,0.0,0.0,0.0
1731,2020-09-27,15.0,3.0,0.0,0.0
1732,2020-09-28,15.0,0.0,0.0,0.0
1733,2020-09-29,33.0,2.0,0.0,0.0
1734,2020-09-30,39.0,0.0,0.0,0.0
1735,2020-10-01,34.0,1.0,0.0,0.0
1736,2020-10-02,45.0,2.0,0.0,0.0
1737,2020-10-03,11.0,0.0,0.0,0.0
1738,2020-10-04,40.0,15.0,1.0,0.0
1739,2020-10-05,34.0,2.0,0.0,0.0
1740,2020-10-06,37.0,2.0,0.0,0.0
1741,2020-10-07,38.0,0.0,1.0,0.0
1742,2020-10-08,29.0,0.0,0.0,0.0
1743,2020-10-09,30.0,0.0,0.0,0.0
1744,2020-10-10,31.0,0.0,0.0,0.0
1745,2020-10-11,35.0,0.0,0.0,0.0
1746,2020-10-12,42.0,21.0,0.0,0.0
1747,2020-10-13,18.0,0.0,0.0,0.0
1748,2020-10-14,15.0,0.0,0.0,0.0
1749,2020-10-15,16.0,1.0,0.0,0.0
1750,2020-10-16,11.0,0.0,0.0,0.0
1751,2020-10-17,9.0,0.0,0.0,0.0
1752,2020-10-18,14.0,3.0,1.0,0.0
1753,2020-10-19,18.0,0.0,0.0,0.0
1754,2020-10-20,10.0,0.0,0.0,0.0
1755,2020-10-21,20.0,1.0,0.0,0.0
1756,2020-10-22,19.0,4.0,0.0,0.0
1757,2020-10-23,20.0,0.0,0.0,0.0
1758,2020-10-24,2.0,0.0,0.0,0.0
1759,2020-10-25,22.0,0.0,0.0,0.0
1760,2020-10-26,26.0,0.0,0.0,0.0
1761,2020-10-27,21.0,0.0,0.0,0.0
1762,2020-10-28,9.0,0.0,0.0,0.0
1763,2020-10-29,10.0,2.0,0.0,0.0
1764,2020-10-30,16.0,1.0,0.0,0.0
1765,2020-10-31,17.0,0.0,0.0,0.0
1766,2020-11-01,26.0,0.0,0.0,0.0
1767,2020-11-02,30.0,0.0,0.0,0.0
1768,2020-11-03,33.0,0.0,0.0,0.0
1769,2020-11-04,28.0,0.0,1.0,0.0
1770,2020-11-05,34.0,2.0,0.0,0.0
1771,2020-11-06,15.0,5.0,0.0,0.0
1772,2020-11-07,3.0,0.0,0.0,0.0
1773,2020-11-08,10.0,0.0,1.0,0.0
1774,2020-11-09,15.0,0.0,0.0,0.0
1775,2020-11-10,15.0,0.0,0.0,0.0
1776,2020-11-11,16.0,0.0,0.0,0.0
1777,2020-11-12,15.0,0.0,0.0,0.0
1778,2020-11-13,17.0,0.0,1.0,0.0
1779,2020-11-14,12.0,1.0,1.0,0.0
1780,2020-11-15,15.0,5.0,0.0,0.0
1781,2020-11-16,18.0,1.0,0.0,0.0
1782,2020-11-17,19.0,0.0,1.0,0.0
1783,2020-11-18,12.0,2.0,0.0,0.0
1784,2020-11-19,4.0,0.0,0.0,0.0
1785,2020-11-20,12.0,0.0,0.0,0.0
1786,2020-11-21,16.0,0.0,0.0,0.0
1787,2020-11-22,16.0,0.0,1.0,0.0
1788,2020-11-23,14.0,2.0,0.0,0.0
1789,2020-11-24,4.0,0.0,0.0,0.0
1790,2020-11-25,5.0,2.0,0.0,0.0
1791,2020-11-26,5.0,0.0,0.0,0.0
1792,2020-11-27,7.0,0.0,0.0,0.0
1793,2020-11-28,24.0,2.0,0.0,0.0
1794,2020-11-29,7.0,0.0,0.0,0.0
1795,2020-11-30,16.0,25.0,1.0,0.0
1796,2020-12-01,11.0,0.0,0.0,0.0
1797,2020-12-02,6.0,0.0,0.0,0.0
1798,2020-12-03,5.0,0.0,1.0,0.0
1799,2020-12-04,5.0,0.0,0.0,0.0
1800,2020-12-05,9.0,1.0,1.0,0.0
1801,2020-12-06,0.0,0.0,0.0,0.0
1802,2020-12-07,9.0,0.0,1.0,0.0
1803,2020-12-08,16.0,0.0,1.0,0.0
1804,2020-12-09,8.0,0.0,1.0,0.0
1805,2020-12-10,0.0,0.0,1.0,0.0
1806,2020-12-11,5.0,0.0,0.0,0.0
1807,2020-12-12,0.0,0.0,1.0,0.0
1808,2020-12-13,6.0,0.0,0.0,0.0
1809,2020-12-14,3.0,0.0,1.0,0.0
1810,2020-12-15,31.0,3.0,1.0,0.0
1811,2020-12-16,28.0,2.0,1.0,0.0
1812,2020-12-17,33.0,2.0,1.0,0.0
1813,2020-12-18,32.0,2.0,1.0,0.0
1814,2020-12-19,7.0,0.0,0.0,0.0
1815,2020-12-20,27.0,2.0,1.0,0.0
1816,2020-12-21,7.0,3.0,1.0,0.0
1817,2020-12-22,7.0,2.0,1.0,0.0
1818,2020-12-23,7.0,0.0,0.0,0.0
1819,2020-12-24,0.0,0.0,0.0,0.0
1820,2020-12-25,6.0,0.0,0.0,0.0
1821,2020-12-26,10.0,0.0,1.0,0.0
1822,2020-12-27,4.0,0.0,0.0,0.0
1823,2020-12-28,8.0,0.0,0.0,0.0
1824,2020-12-29,3.0,3.0,1.0,0.0
1825,2020-12-30,15.0,1.0,0.0,0.0
1826,2020-12-31,3.0,0.0,0.0,0.0
1827,2021-01-01,3.0,1.0,0.0,0.0
1828,2021-01-02,10.0,0.0,0.0,0.0
1829,2021-01-03,11.0,5.0,1.0,0.0
1830,2021-01-04,23.0,1.0,1.0,0.0
1831,2021-01-05,19.0,2.0,1.0,0.0
1832,2021-01-06,14.0,4.0,1.0,0.0
1833,2021-01-07,3.0,1.0,1.0,0.0
1834,2021-01-08,8.0,0.0,1.0,0.0
