,DS,Y
846,2018-04-26,11.0
847,2018-04-27,15.0
848,2018-04-28,16.0
849,2018-04-29,10.0
850,2018-04-30,11.0
851,2018-05-01,13.0
852,2018-05-02,7.0
853,2018-05-03,8.0
854,2018-05-04,0.0
855,2018-05-05,8.0
856,2018-05-06,28.0
857,2018-05-07,7.0
858,2018-05-08,4.0
859,2018-05-09,3.0
860,2018-05-10,2.0
861,2018-05-11,6.0
862,2018-05-12,3.0
863,2018-05-13,12.0
864,2018-05-14,9.0
865,2018-05-15,1.0
866,2018-05-16,8.0
867,2018-05-17,10.0
868,2018-05-18,13.0
869,2018-05-19,15.0
870,2018-05-20,33.0
871,2018-05-21,18.0
872,2018-05-22,16.0
873,2018-05-23,6.0
874,2018-05-24,9.0
875,2018-05-25,14.0
876,2018-05-26,16.0
877,2018-05-27,21.0
878,2018-05-28,33.0
879,2018-05-29,16.0
880,2018-05-30,28.0
881,2018-05-31,14.0
882,2018-06-01,10.0
883,2018-06-02,18.0
884,2018-06-03,23.0
885,2018-06-04,19.0
886,2018-06-05,10.0
887,2018-06-06,10.0
888,2018-06-07,10.0
889,2018-06-08,14.0
890,2018-06-09,17.0
891,2018-06-10,27.0
892,2018-06-11,17.0
893,2018-06-12,13.0
894,2018-06-13,26.0
895,2018-06-14,7.0
896,2018-06-15,1.0
897,2018-06-16,7.0
898,2018-06-17,10.0
899,2018-06-18,3.0
900,2018-06-19,7.0
901,2018-06-20,9.0
902,2018-06-21,10.0
903,2018-06-22,24.0
904,2018-06-23,26.0
905,2018-06-24,6.0
906,2018-06-25,14.0
907,2018-06-26,9.0
908,2018-06-27,7.0
909,2018-06-28,5.0
910,2018-06-29,2.0
911,2018-06-30,19.0
912,2018-07-01,9.0
913,2018-07-02,13.0
914,2018-07-03,21.0
915,2018-07-04,12.0
916,2018-07-05,14.0
917,2018-07-06,17.0
918,2018-07-07,15.0
919,2018-07-08,27.0
920,2018-07-09,13.0
921,2018-07-10,5.0
922,2018-07-11,0.0
923,2018-07-12,18.0
924,2018-07-13,19.0
925,2018-07-14,0.0
926,2018-07-15,0.0
927,2018-07-16,20.0
928,2018-07-17,25.0
929,2018-07-18,20.0
930,2018-07-19,24.0
931,2018-07-20,10.0
932,2018-07-21,8.0
933,2018-07-22,21.0
934,2018-07-23,22.0
935,2018-07-24,6.0
936,2018-07-25,10.0
937,2018-07-26,7.0
938,2018-07-27,7.0
939,2018-07-28,24.0
940,2018-07-29,16.0
941,2018-07-30,5.0
942,2018-07-31,0.0
943,2018-08-01,0.0
944,2018-08-02,3.0
945,2018-08-03,1.0
946,2018-08-04,6.0
947,2018-08-05,5.0
948,2018-08-06,0.0
949,2018-08-07,3.0
950,2018-08-08,6.0
951,2018-08-09,8.0
952,2018-08-10,7.0
953,2018-08-11,13.0
954,2018-08-12,3.0
955,2018-08-13,6.0
956,2018-08-14,15.0
957,2018-08-15,3.0
958,2018-08-16,17.0
959,2018-08-17,12.0
960,2018-08-18,20.0
961,2018-08-19,21.0
962,2018-08-20,18.0
963,2018-08-21,7.0
964,2018-08-22,13.0
965,2018-08-23,12.0
966,2018-08-24,8.0
967,2018-08-25,13.0
968,2018-08-26,26.0
969,2018-08-27,4.0
970,2018-08-28,8.0
971,2018-08-29,13.0
972,2018-08-30,4.0
973,2018-08-31,11.0
974,2018-09-01,9.0
975,2018-09-02,7.0
976,2018-09-03,5.0
977,2018-09-04,12.0
978,2018-09-05,7.0
979,2018-09-06,7.0
980,2018-09-07,4.0
981,2018-09-08,5.0
